index,class,message
673,0,also another thing sense people get pressed when i say it aquaxo sucks
674,0,why do i suck jayman huh
675,0,its goated except the last few achievements suck
676,0,nig kkk pp wewe zombie crack butthole
677,0,next challenges suck so bad
678,0,im not dead zom you annoying sexy person
679,0,lol I found a swastika
680,0,my luck with daily sucks
681,0,vote crate kinda sucks so i guess sell
682,0,daily sucks the most ngl
683,0,yea the new stuff sucks
684,0,but individually instanced tabs sucks
685,1,rxrx u can suck my balls
686,0,i don't like domination but i love money
687,0,i suck at english and i speak it
688,0,"lmao I get back, as I go to swing at some mobs. POOF."
689,0,cause they suck and i dont need em
690,0,Is lunar on cuz i wanna show him my fishing base which kinda sucks but idc
691,0,Go get my bounty at /warp pvp its basically free $ i suck at pvp
692,0,"i lost mine somewhere, kinda sucks"
693,0,all i did was try to build a house for the build comp with them as a team and they just said my building sucks
694,0,Cosmic Coins for Cosmetic Items Suck
695,0,sucks i jus spent my $
696,0,why does the claim plugin suck
697,0,i got a canker sore on my butthole lips :P
698,0,they gonna go poof if yall leave em
699,0,because i suck at pvp
700,0,first ever crate is suck
701,0,can someone tp to me and name  a price on these two houses I suck at these kinds of things
702,0,italian its just bc you suck
703,0,remember falling in love is beautiful but it will hurt your butt
704,0,btw I suck at building
705,0,i suck at pvp anyways
706,0,stay there it will suck them up
707,0,oh i understand why life sucks for you
708,0,last week this dude from my highschooljoined tp'd asked for trust played with me for 2 hours then said I suck and was ugly and alot of other things and blew up my 1 week long mansion
709,0,dang... i suck at parkor lol
710,0,bird wanna be lava partners its totally not like I suck at pvp and parkour
711,0,I suck at Minecraft buddy :/
712,0,Lunar you lookin sexy rn
713,0,are u the guy that suck at hosting
714,0,just give it more Poof in the leafs is all im saying Itz_Suyo
715,0,Suck at pvp? blame italy
716,0,sucks it doesnt show the items custom names
717,0,my butt needs 6 at least
718,0,more bad than hentai Ewww
719,1,cause u know u suck and cant beat me???
720,1,suck my d!ck mother f*cker
721,1,then it will look like a butt
722,1,it looks like my butt
723,0,While Kenzie [me] Is sometimes a charity. He loves dirt. He also suck at building xd
724,1,im also building a workshop but the exterrior sucks butt so im just doing it based off the inside
725,0,xD i suck at pvp not a big acomplicement xD
726,1,just dont have to act friendly to staff that dont do jack butt ever
727,0,ali u better get ur butt over here
728,1,Wipe your butt with it?
729,0,i suck at building lol
730,0,i think my build will suck
731,0,once he notices they suck
732,0,helper you looking sexy af
733,0,"He might be changing it Lug, but yea can suck for people that like to raid and scavenge ;3"
734,0,i suck at almost everything
735,0,I got removed from the disc so my old join date is poof
736,0,mac what does citing suck>
737,0,Bro me life sucks i talk to myself at lunch
738,0,pulled that outta ur butt
739,1,anyone in the americas that i could tp to.. south africa sucks..
740,0,there this server sucks now huh ?
741,0,_Harpooingaming2 it sucks its too expensive now
742,0,i wanted to kill that xx guy
743,0,welp i already went to one of these hardcore murder servers so i can deal with it
744,0,_FR0G3Z i have no friends either lol but i suck at building tho
745,0,I suck at building ask athena
746,0,it work for me sucks to be u
747,0,Tbh krampus armor kinda sucks
748,0,but krampus armor sucks if honest
749,0,i want to team with you XX
750,0,"that sucks man, hmm would you do 150m"
751,0,lucid dreams Juice wrld let me know juice wrld sad xxx wasted juice wrld
752,0,ayo i suck at looking lol
753,1,"i like taco bell fire sauce cause of the taste not the spice, i like the diablo sauce's spice but it tastes like butt"
754,0,but school food sucks in general
755,1,dude feminist be like: boys suck boys be like: we came from our dad's balls
756,0,all the build comp ppl getting their builds up and my slow butt is draggin
757,0,my luck in pluto crate sucks tho
758,0,u cant buy coral which sucks
759,0,xx dont beg i almost got the most hated person on this server like that
760,0,oh i cant favorite it cause bedrock rightclick sucks
761,0,i suck at semi circle roofs
762,0,java suck but at some time java get a huge lead from bedrock
763,0,Nahhh but it'll suck coming off
764,0,your adopted kid suck on your dads milk
765,0,i'd love to pvp for money but i suck lol so never mind
766,0,you guys suck at pvp
767,0,Custom enchantments suck i can kill people in full prot 4 in 2 hits
768,0,bro my luck with books suck
769,1,bldpsoph u baned danny for saying negro do u not knwo negro means black in spanish
770,0,sophie im bad at claimijg cn u claim my base so i wontbe stolen from i suck at claiming
771,0,also i suck at buikding
772,0,[LUMBER AXE (Spooky Good) x 1] thing lowkey suck
773,0,"well this sucks, i cant use piston for my zombie villager maker"
774,0,cus i called him thom-ass by mistake
775,0,sep you suck at minesweeper
776,0,you suck at living ghostly
777,0,xD i told u i suck at bow
778,0,it kinda sucks ill prob never be mod
779,0,oh that sucks well whoever donated 10m thank you <3 ahah
780,0,bows sucks 1v1 me warp pvp
781,0,i suck at claiming so i bought it off someone
782,0,i suck bad at building
783,0,negative u suck lemme win
784,0,people said they wanted to borrow my bedrock and i just went poof
785,0,negative if i could pvp id be kicking ur butt rn
786,0,lol - it was like poof and he was there next to me
787,0,I have buddies who could kick your butt
788,0,but only one time bc i suck at it
789,0,wow spic chat this eve
790,0,"welp, this is going to suck"
791,0,"yea trust me being stuck unable to claim new land, sucks"
792,0,pvp sucks for me i guess
793,0,wella lets duel bc all of them know how to pvp and im suck
794,0,i hate lifesteal.. i suck at pvp
795,0,italy u dont like it bc u suck at it
796,0,i got banned bc i died too many times than got to 50 so if u suck not mu problem
797,0,Alright i suck at redstone too i guess
798,0,[Dildo - Digital x 1]
799,0,ima kick blakes butt in chess
800,0,ima woop blakes butt in chess
801,0,how do I get my chunk hopper to suck up items?
802,0,"""Cx123 Sucks,Bye"" says the guy who left the server"
803,0,cx if you don't get ur butt back in this vc
804,0,"Pandora suck, and no one gone buy a trench pick for 999m"
805,0,"lunar, go hardcore on this one"
806,0,7ammeedo cap only you suck in it
807,0,This sucks i wasted 300M just for this [[Santas Fertilizer] x 1]
808,0,"yall using way better rods than me tho, sucks"
809,0,say i suck again then go watch ur grenade clip
810,0,take this L and suck it
811,0,lucas we suck thats why :D
812,0,_NearbyGuy3482 ur luck sucks thats it
813,0,spawners Suck they make no money
814,0,mans gonna snatch their builds
815,0,ur that op and u still suck at pvp?
816,0,ok its offical i suck- xD
817,0,no butt is sooo smelly
818,0,i almost told your butt to gts
819,0,[Blacksmith V x 1] this thing sucks
820,0,[Forcefield I x 1] sucks
821,0,for a pc player u suck
822,0,gawin mong zombie ung isang priest kasi nasuntok ko
823,0,my chesplate sucks too much compared to you
824,0,can anyone pls help my i suck st mini builds T.T
825,0,ok this one trade sucks the price
826,0,yo cupids axe lowkey sucks
827,0,deh rav just go poof
828,0,im getting his sneezy butt a air purifier
829,0,I suck I have no loot
830,0,it sucks being broke :{
831,0,cx im no good when running round hitting eachother i suck at that but u get how u where at the end of last match ur ded
832,0,the rates are kinda sucks
833,0,U know what sucks tho thomas
834,0,I like mine pink the blue is hard to see xX
835,1,suck it I'm buying it
836,0,proportions inside suck but idc
837,0,my bow sucks i need a better bow
838,0,sucks you cant exchange guardian spawners
839,0,[PVP x 1] my pvp sword sucks
840,0,you guys suck at math
841,0,im on phone pvp sucks
842,0,Bynny pickaxe cool since they only like 4 in the game accounted for currently but lowkey suck
843,0,bruh a sg soawner doesnt suck
844,0,is it concrete powder xx
845,0,slime xp kinda suck coz u cant attack the passive tho it have 500spawner
846,0,thats crazy and stupid xx
847,1,our cult i mean religion is only centralised to shitty rural irish villages
848,0,_CubeTheGuard how exactly did it dissapear? cuz they cant suddenly go poof
849,1,u suck cx i dont wanna hear it
850,0,i suck i cant even crit pvp
851,0,yall suck at this game
852,0,dont go to south korea though that place sucks
853,0,They make everything to an advantage which just sucks for others
854,0,that sucks ig everyone is in cosmos
855,0,[Forcefield IV x 1] book sucks
856,0,Dang my potato farm sucks
857,0,i am losing my mind -_- this build is messing with me hardcore i swear i should have it every 5 blocks but then somewhere along the line it seems to not line up
858,0,rxrx can u tell my huspand merry christmass xx ? (Mahmood4442)
859,0,[Convulse VI x 1] ahh suck it 22% success :D
860,0,Items don't just go poof
861,0,i was in pvp and i went into a pv and it went poof it didnt drop to the ground i checked its not in my pv its not in my echest its gone
862,0,devil it sucks so bad tho
863,0,"its giving me suck low franes, i found this place while scavenging"
864,1,guys suck on these balls
865,0,this sucks i cant sell them
866,0,what looks like a swast1ka
867,0,snow is ok for some things but sucks for pretty much everything else
868,0,can u build me house i suck at building houses when im in survival
869,0,it sucks waiting for rich people to connect to the server to buy my winter unboxes
870,0,can u help me build a house cuz i suck building houses
871,0,bro pay me trade sucks at mobile
872,0,well i cant build i suck at it but ok
873,0,then I remembered cactus farms suck
874,0,ok who here thinks they suck at pvp
875,0,he has a swastika on his skin
876,0,its the magma that sucks to place
877,0,no ur mom sucks mine
878,1,damn that kind of sucks
879,0,wait right this place sucks
880,0,skeet skoot move your boots
881,0,ur lucky i suck at pvp
882,1,Fycron u suck for that
883,0,someone said saving got to snatch
884,0,lmao means laughing my butt off but replace butt with the adult word for butt
885,0,its gonana suck a little bit
886,0,i have been robd on here alreadyit sucks
887,0,Lunar in all respect this type tournament sucks
888,0,this sucks at me sisters rn and im deathly allergicto cats
889,0,i kicked repubs butt with it
890,1,my wifi is so shitty
891,0,no i suck at walking
892,0,or else spawnr ates suck
893,1,cuss i was putting my poking stick in p0wered's butt too often! :(
894,0,Imafish my butt ifff til jan 6
895,0,he doesnt have any good ones apparently that sucks
896,0,the last 20 mins sucks to get an orb
897,0,[PVP x 1] currently the best pvp sword on the server Sucks blind III is on it
898,0,itf limit that sucks ...
899,0,sucks but technically everything placed here is fair game
900,0,bro get off my butt i literally gave u 500k cuz my stupid friend took your fish leave me alone
901,0,i suck at jumping bruh
902,0,cx if i say italy sucks can i have 100m
903,0,and skidllz that is one of the many reasons why u suck <3
904,0,"if it sucks , you can leave"
905,0,who wanna marry a hot sexy mama
906,1,Huge sexy hot mama for sale so sexy her balls are juicy ban me now
907,1,Im so sexy my mama claps my balls so hard it fesls so good suck em pls
908,0,these drop odds suck ngl
909,0,[Crab Claw x 5] these bosses suck man
910,0,it sucks because the /shop is so expensive I am unable to maintain my town
911,0,Supposed to make sure u have space and paying. Its what i been told. Sucks but easily preventable
912,0,bro these kits suck thats what happened bro ill go legacy any day
913,0,bc lf my sexy hot mama jokes
914,0,i was banned for a day bc i made sexy hot mama jokes
915,1,imma sexy hot mama with juicy ballss
916,0,lets not talk abt suck things and play mc
917,0,bro fishing in a desert sucks ngl
918,0,can you do the beacons i suck at doing it i take long lol
919,0,"Hey Lunar, I can't seem to use the pot of gold to suck up any water"
920,0,blake sit yo butt down
921,0,"i used to play on bedrock, but the villager trading setup sucks"
922,0,yea drop chance sucks too
923,0,bedrock players go poof when they get to close
924,0,bro this new update sucks
925,0,Buying xp for 10k bottles is really going to suck when people sell me there xp
926,0,i have a rabbit sniffing my butt
927,0,meh my villagers went poof. and she told me why
928,0,Poof as in poof gone or poof as in poof?
929,0,sry im back my dog was humping the carpet
930,0,powered can i suck your toes
931,0,"jsut learned that its ""believe"" i suck"
932,0,big structures suck to have to mine out
933,0,Man building a glass dome is gonana suck.
934,0,[[NewYears Rod] x 1] thing lowkey suck
935,0,[[NEW YEARS KEY] x 1] sexy
936,0,:/ the new mc button sucks for me
937,0,so i tpa to chromolg with the hoppers and then just poof he left - see this is why you don't do nice things
938,0,savannah biome sucks for crabmas
939,0,sucks to be in the cosmic dragon fight without ability to fly
940,0,im coughing and it sucks
941,0,"organizing all these fish in a storage system is going to suck.,"
942,0,get yo fat butt outta here
943,0,thats true he kicks my butt
944,0,im on a bad laptop so i suck rn lmao
945,0,its called ur friedn sucks so he needs u to help
946,0,if i cant get my self a netherite tools i would suck
947,0,u two must really suck having to 2v1 to win eh
948,0,I thought being main character meant you got girls this sucks ;-;
949,0,i just got banned from the discord for sending nsfw server links but my dsicord got hacked into i changed my details now.
950,0,all book shop sucks in these days
951,0,someone tell ned hes sexy for me
952,0,free loot for a girl sexy pic
953,0,[Christmas Broom Fast x 1] sexy
954,0,the base i built in 1 hour sucks
955,0,this house sucks compared to what ive made
956,0,[[PVP XBOW] x 1] sexy
957,0,nah rx u suck just real good at healing
958,0,anyone need a partener? i have nobody and i suck but i want to tag along
959,0,thats why it sucks lmao
960,0,man butterfly clicking doesnt even work i suck lol
961,0,its closed because my villagers went poof so i closed the shop and sold all books to Utile
962,0,just lost my home in my hardcore world so
963,0,does anyone elses rendering distance suck rn?
964,0,if you dont want anything in here teddy make it go poof
965,0,lunars system doesnt work. if u dont believe me then ban me. doesnt matter. this server sucks
966,0,sucks when they do that
967,0,"lol minecfraft.... you got shot in the butt, but have an arrow in your face. interesting"
968,0,he almost shot zomtrain with a trident XX
969,0,it went poof when i traded it for $1
970,0,goat il suck yo toes
971,0,this base sucks you know i have way better
972,0,ill stalk ya butt for some cookies
973,0,I lift the most weight with my butt lmao
974,0,im suck in someones base
975,0,[[DAILY KEY] x 6] sexy
976,0,i just need ghoste to get her butt online
977,0,bruh i suck at mazes lol
978,0,No idea my luck sucks for everything else lol
979,0,my account went poof for a second
980,0,"sep, get your butt in that discord suggestions and upvote illnasti's that you downvoted you troll >:("
981,0,that sucks dude but nothing you can do
982,0,"Wow that sucks, in Florida there is tons of water but very few trees and caves"
983,0,[[ROYAL BREAD] x 1] sexy looking bread
984,0,i never get anyting these event suck as s
985,0,bedrock sucks but I love it somehow
986,0,Who wants to team? I have Dantdms hardcore base!!!
987,0,lmao ur sword sucks zom
988,0,"Rip ppl who dont have Pandora, lowkey suck anyways"
989,0,"Imagine not having Pandora :), Pandora suck tho so dont get it"
990,0,crystal pvp is for ppl that either suck at pvp or servers that you can egap spam
991,0,Its dantdms hardcore floating castle!
992,0,Dang my spelling sucks rn
993,0,warp pvp sucks all the op people with bought items team
994,0,yoo see yall later. gotta make some sport and not only sit on my butt all day long :)
995,0,oh no that sucks kat
996,1,stop buying gaming headphones they are ass
997,0,on hardcore single player i get 1600
998,0,i suck at pvp because of me 15mbps internet -_-
999,0,if u suck dont blame players
1000,0,:O why is it showing in my heart that im on hardcore
1001,0,nice but u still suck
1002,0,Bro why is fisting these mobs so effective :sob:
1003,0,unless u mobile its suck
1004,0,who bought the spawner key on ah :( i was buying it and poof gone XD
1005,0,walmart sucks everything is sold out
1006,0,god i suck at typing today
1007,0,building the goliath dome is gonana suck fr fr
1008,0,where r u you went poof poof
1009,0,i suck at parkour but il give it a go
1010,0,"slap it with a fish rod, poof, augment"
1011,0,Even the mods dont know that sucks
1012,0,i suck during the day but at 2am im da goat
1013,0,i suck at pvp but lets
1014,0,bruh lets go back this suck
1015,0,Dude i suck at building
1016,0,sheep needs to get his butt online smh
1017,0,specifically ps4 controllers them dudes suck
1018,0,armor suck if u dont have unbreakable
1019,0,rxrx im working my butt off
1020,0,xX if u have the money yea
1021,0,who wanna marry me im a sexy lady
1022,0,ugh this is gonna suck
1023,0,no ima just suck it thru the straw hole
1024,0,oh that sucks cause I have the key in my chest
1025,0,that sucks i didn't get anything
1026,0,being w tofu must suck
1027,0,if that block says chicken butt
1028,0,the chat protection a bit hardcore imo
1029,0,my shulker of infin blocks just went poof
1030,0,i was tryin for one last loader before they go *poof*
1031,0,how can i be interent when mine sucks
1032,0,Who Suck at english here
1033,0,so if i Place it somewhere it will suck All the things i filter Out?
1034,0,_Cookieplayz9376 it will suck all the things u filter in
1035,0,Baccon likes having intercourse with guys
1036,0,ban me this server is suck im hacking and im only get kicket
1037,1,b**** suck my d*** cause my sawg like a 100
1038,0,Pandora suck dont buy it
1039,0,RXRX gl with bow spamming you suck
1040,1,u suck who killed me
1041,0,bud can u not butt in on deals
1042,0,yeah sucks when that heppens
1043,0,skid I'm on mobile so I automatically suck
1044,0,smokecloud just make a lil poof
1045,1,u suck i was explaining myself
1046,0,the big lava river gonana suck
1047,0,its a pw sucks to suck
1048,0,it sucks. I take my brace of to play cause I can't stay away
1049,0,ok I will I was doing it for a while but my hand started cramping so i stopped. lol. It sucks getting older
1050,0,_Lew8184984 cele + sucks ill buy u support good ?
1051,0,_Aerohere i suck at building too xD
1052,0,who made this this kinda sucks
1053,0,bc they suck they are decorarion
1054,0,no i suck at building
1055,0,omg with all the stormtroopers xX
1056,0,why talk abt it then XX
1057,0,i mean it let me vote for one of my alts XX
1058,0,man /pp really sucks with all the ppl with knockback lol
1059,0,Migraine realy realy sucks yes
1060,0,HAHAHA sucks to be you
1061,0,guess what = chicken butt*
1062,0,well ik i just suck at it
1063,0,ik it sucks but players are allowed to to do anything with unclaimed land
1064,0,"it was at my feet while fishing, a crab spawned, killed it and poof went the spawner"
1065,0,sellint 40 coons 400k msg me
1066,1,Man ya'll suck at the alphabet
1067,0,this guy sucks in pvp
1068,0,everyone who got 60 coin trade me i give 15m and 2 suck netherite ingote and 1 stuck dimonds blocks
1069,0,[[Debug Stick] x 1] suck
1070,0,bro pog all these items suck
1071,0,i am workin ma butt off for u man
1072,0,ty i suck at building so am trying hard
1073,0,who wunt to trade i suck
1074,0,axe pvp sucks unless its cupid
1075,0,i have full pvp armor and it still sucks
1076,0,ima work my butt off for no reason
1077,0,does anyone want a butt-ton of stone
1078,0,whoever made this cactus farm sucks
1079,0,"And yeah, it sucks that Pandora is 1B now."
1080,0,"Beacons exist, but they suck."
1081,0,bro this magma bucket and eureka cooldown suck
1082,0,i found an unclamed bace i rtprd here am i ok to use it. asking as im new here xx
1083,0,i suck on burrito still
1084,0,english sucks but i got a 96 in it soooo
1085,0,tbf every subject but ela sucks
1086,0,bro i read that as fisting that hero oop
1087,0,buying 12 coins for 12mill! 1mill each! I rly need 1k coons and im almost there!
1088,0,i don't wanna hide and suck
1089,0,but i suck at building
1090,0,lunar can i suck your toes pls
1091,0,everytime i say i suck at offering
1092,0,damn that sucks that your lagging
1093,0,can I kill someone I suck at pvp
1094,0,I have 12 total and they suck lmfao
1095,0,i honestly suck at building
1096,0,hey skidllz can i say sexy
1097,0,That cost alot plus Pvp armor sucks
1098,0,"not true, you knew chicken butt"
1099,0,i think its tomorrow bc sunday sucks for events
1100,0,"eternal sucks, you cant get more claim area when theres people with 300 day old claims and eternal claim pass"
1101,0,"Every update after 1.5.2 sucks, change my mind :P"
1102,0,fightclub sucks except for rx
1103,0,terraforming this gonana suck fr
1104,0,It dont just poof tho
1105,0,are some houses for sale? cuz i suck at building
1106,0,p0wered are some houses for sale? cuz i suck at building
1107,0,np im about to leave the server now lunar sucks
1108,1,u suck [ LunarO o is god x 1]
1109,0,"_WHITE3725 you snatch stuff, not trustful my guy"
1110,0,p0wered are any houses on sale cuz i suck at building
1111,0,man finding a good piece of land sucks
1112,0,Reaction not being capital sensitive sucks.
1113,0,me building a rope bridge thing up to it is gonana suck fr
1114,0,p0wered can you check out my base it sucks but imma make it better
1115,0,nah i suck at building xD
1116,0,u at least need to get ur fat fishy butt outta there
1117,0,bennet not just ur butt
1118,0,Don't say chicken butt... I been got a few times
1119,0,sophie chicken butt haha got you anyways
1120,0,no im good i suck at naming XD
1121,0,more than that its suck
1122,0,"Minecraft is just tossing a bunch of stuff at a wall and if it doesn't stick, the hardcore fans will still eat it up anyhow."
1123,0,the new pokemon games suck
1124,0,god of war sucks fr fr
1125,0,[gift from cred the sexy x 1]
1126,0,next person who breaks chest in ends gets a butt whoopin
1127,0,then dont get a girl rn cause she finna teach you everything what to love and if yall breakup you finna hate everything you once loved and that heart break finna suck
1128,0,doesnt it just suck when someone claims thatthey did something that you built
1129,0,kbm kinda does suck on console
1130,0,bro this is looking pretty sexy
1131,0,these barriers suck when using an elytra lol
1132,0,xcanadiaa i mean a chunk hopper set to suck up cactus from anywhere in the chunk
1133,0,emm no tanks lmao i have the powder butt i dont wanna water it up lmao
1134,1,free kill at /warp pvp im butt naked
1135,0,2 bilder wands went poof
1136,0,oh my 2 build wands def went poof too
1137,0,this house sucks but theres a farm sooo
1138,0,eron it sucks all tge items that drop in a chunk
1139,0,Nah new year suck lmfao
1140,0,i suck at inclined godbridge
1141,0,If straight up NSFW gets past it.
1142,0,and man wouod it suck to need one and not have lol
1143,0,"damn that sucks, im tired and achey lol"
1144,0,making a 6 chunk by 6 chunk netherwart farm in pandora sucks
1145,0,I just daid on my 5 year old hardcore world
1146,0,tell your teamate he sucks
1147,1,i can feel my butt tearing as my eyes start to water
1148,1,shrek roars a mighty roar as he c*ms in my butt with his love
1149,0,WHAT new cxp grinder doesnt suck >:c
1150,0,yea it kinda sucks cant plant half the wheat field on the bottom barely 4 on the top
1151,0,_TrickZz_FN no it dont u suck
1152,0,Trickz you suck the server dosent
1153,0,anyone have a job me and dpmplays can do can do? (besides building) well maybe him but not me i suck a building
1154,0,nah just the crate sucks
1155,0,but what if i dont wanna suck you and wanna bleed you out
1156,0,How did you lose 500m? Money shouldn't just go poof
1157,0,so money does just poof
1158,0,Money doesn't just go poof
1159,0,money does poof i just explained
1160,0,ok hold on let me look on yt cuz i suck at building lol
1161,0,"yeah that sucks, but also doesn't"
1162,0,bruh i have enough to buy anpther inf key XX
1163,0,its called housewives or sum XX
1164,0,nah bro the pvp shop armor suck bad
1165,0,"Sophie. You know culopro means ""pro a55"""
1166,0,an absolute sexy beast i am
1167,0,./pp for coons and ores
1168,0,who wants to suck me?
1169,0,"hershey that sucks, make a ticket in discord"
1170,0,its butt but you can have
1171,0,xX my e hest holds like 300 chests and a minecart chest and thats all
1172,0,bc i got suck armor enchantments
1173,0,omg that sucks that was so expensive
1174,0,Suck it up and stay poor you dont see me asking for handouts
1175,1,sucks like u bro heck out g
1176,0,shawny be buying stuff XX
1177,0,then explain how im unleft XX
1178,0,ur gonna say chicken butt
1179,0,anyone want to suck me
1180,0,enough about sexuality please its a minecraft server bruh
1181,0,nixon armor really went *poof*
1182,0,"1v1 in pvp, no pot or u suck"
1183,0,what game doesn't constantly try to suck all money from players
1184,0,jim get your butt over her
1185,0,whats ur secret i must suck
1186,0,How dare you scam me. I was a member of Sexy Nepal on the Minecraft civilizations yt video
1187,0,pluto suck after chunk loaders gone
1188,0,calculus sucks it so annoying
1189,0,"lol yea dont place it down and try to pick it up, it may poof. Lost 3 eggs due to that @Jael"
1190,0,i suck zt pricing lol
1191,0,ima go to my hardcore world
1192,0,[☠SPOOKY ROD☠ x 1] 4 away to Masterfisherman XX OMG
1193,0,rank drops suck for cel+ players
1194,1,[Stick Of Truth x 1] im gonna stick this to ur butt lunar if u dont let me win
1195,1,I'll sitck this to ur butt lunar
1196,1,I'll sitck this to ur butt lunar [Stick Of Truth x 1]
1197,1,I'll stick this to ur butt lunar [Stick Of Truth x 1] 0 0
1198,0,"hook sucks, if u can do them well they are great tho"
1199,0,cornhole championships is underrated tbh
1200,0,cornhole and horshoe tossing kinda entertaining
1201,0,how do people not know what cornhole is
1202,0,"hotdog eating comp (the goat joey chestnut), then cornhole champs"
1203,0,yeah cornhole is an american thing ig
1204,0,Ngl just about every country sucks
1205,0,now they just humping air
1206,0,i like it but the underground part gonna suck since you can go through it fully
1207,0,bro gym was fun in gr 8 but in highschool it sucks
1208,0,anybody gota butt load of grass
1209,0,Xx i want ur scales claw
1210,1,imma stick this to ur butt _God_vaguer_
1211,0,currenty on hold rn it sucks
1212,0,i want to buy 188 coons
1213,0,ik lol ew you smells like butt
1214,0,I suck at parkour lmao
1215,0,i lost my 80lv xp in this suck parkour
1216,0,i lowkey suck at pvp idk how ppl cant kill me fr
1217,0,no need for money xx
1218,0,"warp pvp everyone, i suck"
1219,0,like fr i actually suck
1220,0,yeah i suck at pvp lmfao
1221,0,i suck at 1v1 u would win
1222,0,im sorry i cant im only new to mobile and i suck
1223,0,"kinda sucks that the vote system is abit flawed. Timezone and all, people will always have 5 more votes than others lul"
1224,0,ima go kn survival fr this sucks
1225,0,it sucks that you cant get spawners in the resource world
1226,0,[[Cupids Shovel] x 1] this sucks
1227,0,no problem do /tutorial and /help if u get suck
1228,1,goofyahhproman will snatch ur baaaalsss
1229,0,tell him to get his butt online I need hendy
1230,0,and i saw XXX and ski mask at rolling loud miami 2018
1231,0,pvp on this server sucks
1232,0,Was it on floor then poof?
1233,0,stop humping the poor slab
1234,0,and i still got 2 armor piece thats sucks
1235,0,i lowkey suck at pvp
1236,0,well i suck at pvp im the worst
1237,0,fozan u suck way to much that u run while fighting your not a soldier
1238,0,i did butt i didnt get any vote point
1239,0,Shes rich i gotta suck up till there broke ofc.
1240,0,ik I'm suck at pvp rappid yk that
1241,0,it sucks with 48 spawners
1242,0,u suck @_LavaLout4007 stop scamming and grow up
1243,0,imma prolly hop off tho cause this headache sUCKS rn
1244,0,just like that poof melly was gone
1245,0,jayden move ur butt out the way
1246,0,yes but i suck at pvp
1247,0,hey zemha can rx take my spot cuz i suck rn
1248,0,helper cant make friends for you xX
1249,0,"lol figured I had the space, might aswell put it towards some challenges ;3 just sucks you gotta place blocks by hand each time"
1250,0,u all suck exept barb
1251,0,no butt the chest fell in
1252,0,first one to say '''p0wered sucks'' gets 1M
1253,0,saying that someone sucks is so bad
1254,0,reko my place sucks no cap
1255,0,lava land domination will mot be allowed
1256,0,hey muffin can i snatch some of that stone?
1257,1,tp to me for nutt in butt
1258,0,anyone know how to get good money i suck at doing this
1259,0,I am not just pulling stuff out of my butt :P
1260,0,xx are you happy with like 25m
1261,0,xx you bought my tractor lol
1262,0,xx where did the other guy go
1263,0,xx you are going to be the only guy getting payed cause the other guy dont show up
1264,0,xx where did you go'??
1265,0,just wait for xx to get back
1266,0,oh thats why the spawners suck..
1267,0,the internet in my school sucks
1268,0,No he suck at building
1269,0,xx you need a netherite hoe???
1270,0,xx because you are going to team with me and ventex you can keep perms 2 this farm btw
1271,0,anyone need a butt load of sand
1272,0,xx potatoes with the mega harvestar
1273,0,xxx give me persm pls
1274,0,xx ima help my cuz get some materials so i will help like in 30min
1275,0,someone built a swastika in germany. Not cool
1276,0,yeah i alredy did xx
1277,0,xx let me do the 2 floor tho
1278,0,xx cab you break the rest ima go heal my shovel
1279,0,xx i cant give you money anymore im broke
1280,0,xx lets go get some soul sand
1281,0,Gud i just got a 4 pound lean pork butt.
1282,0,xx can i use the maga wand
1283,0,xx start building up here
1284,0,but all the admins suck
1285,0,xx can you transfer the claim 2 me
1286,0,It sucks how i lost 300-700 coins from my old account
1287,1,you better grab some popcorn and stuff it up ur butt
1288,1,look if yall still here watch me stuff some popcorn up my butt
1289,0,naw ur gunna win ur build is sexy
1290,0,"dude mc on a mac sucks, im strugglin rn"
1291,0,lumber is the sexy mod
1292,0,"Pacers suck too, just Tyrese make em alri"
1293,0,acctuly rn my mac10 sucks
1294,0,i hate german stuff they suck and speaking it is hard
1295,0,being in south america sucks
1296,0,Weather around me sucks rn
1297,0,which kinda sucks now cuz all classes in high school difficult
1298,0,Eidalon0661 just respawn butt u lose ur xp tho u can /xpbottle it before
1299,0,oof nvm Santa Lantern effect sucks for me
1300,0,no butt i really want one
1301,0,is the swastika symbol allowed?
1302,0,jax your sword sucks let me give you one
1303,0,around 8b went on coons
1304,0,cac farms without fly sucks lol
1305,0,anyone want to 1v1 in /warp pvp I suck
1306,0,sumo get staff or i thinkk celes+ can to block history butt idkk i think i read that wrong that day lol
1307,0,this sucks i remember cele+ can mine spawner on resource world that how i got my money
1308,0,Binoic slap epic he said the phillipines sucks
1309,0,i rlly suck at building
1310,0,sucks to have school skill issue
1311,0,i suck at pvp but ull try
1312,0,accidents happen and carma sucks
1313,0,top 10 reasons why eco sucks
1314,0,im lagging hardcore but waut
1315,0,no one buy lovely. castle sucks
1316,0,"Think yall need to get rid of anticheat ngl, cause if its coming after me then it sucks, dont even know how to use mods and stuff"
1317,1,put a creampie in my bum
1318,0,its a chunk that can suck all items in a chunk
1319,0,./pw wintermuseum for Donation boards & cool items! Pls rate one star bcuz i suck.
1320,0,Lmfao dont get butt hurt cause i wont sel you anything
1321,0,"no one wants to buy claws, kinda sucks"
1322,0,sucks to be whoever is watching this convo
1323,0,this game sucks there is no where to build
1324,0,Pluto crate is good. The vote crate sucks
1325,0,I never use my vote keys as the crate sucks
